iter	Logloss
0	0.6929458201
1	0.6926620569
2	0.6921132306
3	0.6918762564
4	0.6916278823
5	0.69092218
6	0.6907232063
7	0.6902999922
8	0.6902246208
9	0.6899514486
10	0.6897098309
11	0.6891436746
12	0.6891413854
13	0.6889770051
14	0.6889747563
15	0.6888889536
16	0.6888031547
17	0.6885335161
18	0.6883025022
19	0.6883005829
20	0.6882564256
21	0.6878808568
22	0.6877925967
23	0.6875477748
24	0.6874733762
25	0.6867876939
26	0.6863610624
27	0.6859363199
28	0.6856013607
29	0.6854083888
30	0.6849934072
31	0.6849129642
32	0.6846899443
33	0.6843987579
34	0.6837123127
35	0.683425781
36	0.6827263225
37	0.6825162898
38	0.6818896297
39	0.6814318991
40	0.6813701196
41	0.6813040818
42	0.680738196
43	0.6804407141
44	0.6803865018
45	0.6798650785
46	0.6798631533
47	0.6789612953
48	0.6784691982
49	0.6780037413
50	0.677782262
51	0.6776963649
52	0.6773940232
53	0.6769769703
54	0.6764838863
55	0.675861614
56	0.6755051109
57	0.6753052465
58	0.6751843669
59	0.6747168565
60	0.6746547636
61	0.6741597801
62	0.6740860092
63	0.6735210251
64	0.673216961
65	0.6728347556
66	0.6724601965
67	0.6724586118
68	0.6722145394
69	0.6720933499
70	0.671890269
71	0.6716980732
72	0.6714285608
73	0.6712216698
74	0.6710424418
75	0.6709611643
76	0.6708113336
77	0.6701222367
78	0.6700445943
79	0.6698336867
80	0.6698321049
81	0.6696540393
82	0.6692648785
83	0.6691368886
84	0.6687228039
85	0.6680456247
86	0.6680069616
87	0.6678285198
88	0.6676409268
89	0.6672279263
90	0.6672265039
91	0.6671774896
92	0.6665722765
93	0.6663282582
94	0.6659420018
95	0.6658104683
96	0.6653462362
97	0.6653445319
98	0.6652305804
99	0.6650093733
100	0.6650079593
101	0.6646590265
102	0.6645374964
103	0.6645359802
104	0.66386678
105	0.6637462322
106	0.6637447361
107	0.663239393
108	0.6630669124
109	0.6630656654
110	0.6630640408
111	0.6627951582
112	0.6626846856
113	0.6622168704
114	0.6622048411
115	0.6616171891
116	0.6609455148
117	0.6601950467
118	0.6592895913
119	0.6591554743
120	0.6590779032
121	0.6590408208
122	0.6589272609
123	0.6586207156
124	0.658619555
125	0.6584318679
126	0.6584306948
127	0.6579906538
128	0.657881297
129	0.6573962537
130	0.6568440293
131	0.6567474866
132	0.6561959134
133	0.6560857155
134	0.655743555
135	0.6554720784
136	0.6544954806
137	0.6542704349
138	0.6539046275
139	0.6538583492
140	0.6536604568
141	0.6531483789
142	0.6531471243
143	0.6530074996
144	0.652926732
145	0.6526112668
146	0.6521613362
147	0.6520101033
148	0.6519094907
149	0.6519035142
150	0.6517053901
151	0.6513175249
152	0.6513163659
153	0.6511538053
154	0.6508926237
155	0.650462759
156	0.6504617672
157	0.6504606535
158	0.6503398229
159	0.6499219036
160	0.6491193469
161	0.6488819398
162	0.6487401618
163	0.6486114003
164	0.648304871
165	0.6481447757
166	0.6481436551
167	0.6479208259
168	0.6472450355
169	0.6471204772
170	0.6469256264
171	0.646756357
172	0.6466259116
173	0.6459545591
174	0.6456425524
175	0.6456034503
176	0.6447090115
177	0.6443068128
178	0.6443058921
179	0.6440800654
180	0.6440055449
181	0.6439483969
182	0.6434542639
183	0.6432536921
184	0.6429191862
185	0.6428068
186	0.6426008376
187	0.6420832003
188	0.642082389
189	0.6416302587
190	0.6415908415
191	0.6414710826
192	0.6413036489
193	0.6413028167
194	0.6410582217
195	0.6406722271
196	0.6401821952
197	0.6400763559
198	0.6393734102
199	0.6393725864
200	0.639371977
201	0.6389792675
202	0.6389144521
203	0.638393464
204	0.6380779124
205	0.6378315387
206	0.6370133041
207	0.6366939005
208	0.6366789625
209	0.6366152415
210	0.6361721428
211	0.6358813954
212	0.6358805716
213	0.6356784502
214	0.6350631646
215	0.6348372919
216	0.6347745325
217	0.6344176117
218	0.6342789635
219	0.6337200363
220	0.6330250533
221	0.6329121787
222	0.63291139
223	0.6324769274
224	0.6321225126
225	0.6320681823
226	0.6320674586
227	0.631996835
228	0.6319637695
229	0.6319629508
230	0.6314144917
231	0.6306796967
232	0.630558055
233	0.6305273951
234	0.6303092891
235	0.6300718994
236	0.630071298
237	0.6300706557
238	0.6299668978
239	0.6299364788
240	0.6296282982
241	0.6296277891
242	0.6292538112
243	0.6291116812
244	0.6283874656
245	0.6276725885
246	0.6274494934
247	0.6269794435
248	0.626663887
249	0.6260054777
250	0.6259892188
251	0.6259887229
252	0.625456707
253	0.6253462586
254	0.6249676627
255	0.6248001189
256	0.6245208312
257	0.6241888222
258	0.62414932
259	0.6240909978
260	0.623591535
261	0.6231273413
262	0.6229636529
263	0.6228454581
264	0.6224868173
265	0.6223149431
266	0.6221233663
267	0.621575428
268	0.6212048844
269	0.6205430463
270	0.6201342675
271	0.6201338992
272	0.6197317445
273	0.6195296627
274	0.6195178607
275	0.6194891781
276	0.6194362136
277	0.6194018142
278	0.6193102623
279	0.6190909011
280	0.6188203449
281	0.6186796203
282	0.6184498355
283	0.6177626163
284	0.6175027898
285	0.6171264043
286	0.6171260083
287	0.6169023104
288	0.6167279732
289	0.6161923493
290	0.6158320555
291	0.6151021024
292	0.6150435857
293	0.6149444327
294	0.614873184
295	0.6148678216
296	0.6141217495
297	0.6138977695
298	0.6138975076
299	0.6138970727
300	0.6138967664
301	0.6137452505
302	0.6133648661
303	0.6133577106
304	0.6133572553
305	0.6131479565
306	0.6127679108
307	0.6125554033
308	0.6123507911
309	0.6117894607
310	0.6117065523
311	0.6117062111
312	0.6117058448
313	0.611197525
314	0.6108430245
315	0.6108426573
316	0.6103468627
317	0.6103105886
318	0.6101616052
319	0.609963092
320	0.6098132089
321	0.6096804191
322	0.6095481775
323	0.6095477561
324	0.6092704837
325	0.60875201
326	0.608751709
327	0.6084584217
328	0.6084319341
329	0.6079125721
330	0.6073197559
331	0.6072684088
332	0.6072681679
333	0.606678737
334	0.6065536516
335	0.6065535797
336	0.6065027258
337	0.6062674333
338	0.6060669657
339	0.6059235739
340	0.6058251169
341	0.6058249046
342	0.6055695886
343	0.6054119257
344	0.6050931357
345	0.6048408356
346	0.6048404812
347	0.6048178273
348	0.6041447419
349	0.6037615368
350	0.6034887513
351	0.6033383284
352	0.6033272626
353	0.6030002171
354	0.6027218324
355	0.6027216184
356	0.6027214573
357	0.6025347274
358	0.6022699805
359	0.60221126
360	0.6021549623
361	0.6015224326
362	0.6014890926
363	0.6011786765
364	0.6011785022
365	0.6010347552
366	0.6008127995
367	0.6006854076
368	0.6005957598
369	0.600590893
370	0.600016496
371	0.5997137593
372	0.5995512026
373	0.5995511207
374	0.5994073028
375	0.599407137
376	0.5993060807
377	0.5988700265
378	0.5985050792
379	0.5981378006
380	0.5981377606
381	0.5980989472
382	0.5979623688
383	0.5974098669
384	0.5973211657
385	0.5972059012
386	0.5972059726
387	0.5971198863
388	0.5969923109
389	0.5969921649
390	0.5965809296
391	0.5964775922
392	0.5961145141
393	0.5956747629
394	0.5955045026
395	0.5952072393
396	0.5951987895
397	0.5949888535
398	0.5949388339
399	0.5949388488
400	0.5945037849
401	0.5944991249
402	0.5942074231
403	0.5941317043
404	0.5939756195
405	0.5934221406
406	0.5930841225
407	0.5930059363
408	0.5927749705
409	0.5926876085
410	0.5926618635
411	0.5925903903
412	0.5923922787
413	0.5923076903
414	0.5922946392
415	0.5920548107
416	0.5914848278
417	0.5911901604
418	0.5910100387
419	0.5907238856
420	0.5905118436
421	0.5903407597
422	0.5902185744
423	0.5898101202
424	0.5893820999
425	0.5893089639
426	0.5891529071
427	0.5884772243
428	0.5879536671
429	0.5876346122
430	0.5876344782
431	0.5874017424
432	0.5874017176
433	0.5869154556
434	0.5868477199
435	0.5866192889
436	0.5864939285
437	0.5863576182
438	0.5859941994
439	0.5857811359
440	0.5855534956
441	0.5852526008
442	0.585209167
443	0.5850590775
444	0.5849325645
445	0.5843327145
446	0.5843325734
447	0.5837318524
448	0.5834909588
449	0.5832954851
450	0.5830930015
451	0.5828209729
452	0.5826704538
453	0.5821911446
454	0.5820681835
455	0.5818794477
456	0.5818648548
457	0.5815946067
458	0.5815945881
459	0.581475809
460	0.5814303452
461	0.581337631
462	0.580768171
463	0.5807646251
464	0.5801537875
465	0.5801537486
466	0.5799926564
467	0.5799926445
468	0.5799628468
469	0.5798414354
470	0.5797225586
471	0.5792409836
472	0.5790160362
473	0.5789891515
474	0.5786113692
475	0.5786112423
476	0.5783233381
477	0.578230317
478	0.5782303757
479	0.5778699704
480	0.5777149926
481	0.5776890209
482	0.5776591041
483	0.5776515973
484	0.5776472709
485	0.5773463113
486	0.5773462126
487	0.5773462258
488	0.5772058738
489	0.5770758897
490	0.577075906
491	0.577075871
492	0.5769683247
493	0.5767186262
494	0.5764618606
495	0.576456272
496	0.5758805885
497	0.57587717
498	0.57557462
499	0.5753858614
